1	76	84	76	2	0
2	101	205	177	7	1
3	165	324	342	11	2
4	237	502	579	15	3
5	324	697	903	19	4
6	353	839	1256	20	4
7	429	1065	1685	23	4
8	478	1325	2163	26	5
9	510	1491	2673	28	6
10	548	1710	3221	30	7
11	602	1843	3823	33	7
12	671	2046	4494	34	8
13	766	2251	5260	37	8
14	826	2496	6086	40	9
15	881	2774	6967	42	10
16	981	3083	7948	43	11
17	1001	3297	8949	44	12
18	1072	3594	10021	48	13
19	1150	3899	11171	51	14
20	1236	4204	12407	53	15
21	1272	4422	13679	54	16
22	1339	4711	15018	56	17
23	1408	4986	16426	58	18
24	1455	5326	17881	62	19
25	1507	5537	19388	64	20
26	1598	5846	20986	67	21
27	1638	6129	22624	69	22
28	1668	6565	24292	71	23
29	1779	6840	26071	74	24
30	1837	7108	27908	75	25
31	1871	7342	29779	78	26
32	1882	7782	31661	80	27
33	1903	8104	33564	81	28
34	1960	8407	35524	83	29
35	2007	8765	37531	85	30
36	2053	9070	39584	89	31
37	2072	9371	41656	90	32
38	2095	9836	43751	93	33
39	2160	10090	45911	95	34
40	2201	10279	48112	96	34
41	2278	10669	50390	98	35
42	2299	11150	52689	99	36
43	2364	11428	55053	100	37
44	2437	11765	57490	101	38
45	2516	12095	60006	103	39
46	2582	12463	62588	104	40
47	2643	12776	65231	105	41
48	2706	13199	67937	106	42
49	2726	13402	70663	109	43
50	2761	13922	73424	111	44
51	2778	14151	76202	113	45
52	2846	14540	79048	114	46
53	2963	15058	82011	118	47
54	3054	15506	85065	121	48
55	3094	15823	88159	122	49
56	3158	16175	91317	123	49
57	3191	16525	94508	124	50
58	3213	16750	97721	126	51
59	3253	17064	100974	127	52
60	3289	17320	104263	128	53
61	3332	17708	107595	130	54
62	3439	18014	111034	132	55
63	3512	18401	114546	133	56
64	3567	18810	118113	135	57
65	3598	19078	121711	137	58
66	3655	19356	125366	139	58
67	3677	19781	129043	141	59
68	3710	20153	132753	143	59
69	3765	20594	136518	146	60
70	3846	21034	140364	150	61
71	3876	21407	144240	153	62
72	3939	21969	148179	155	63
73	4009	22407	152188	156	64
74	4053	22990	156241	160	65
75	4107	23453	160348	161	66
76	4134	23795	164482	164	67
77	4202	24385	168684	166	68
78	4268	24814	172952	170	69
79	4336	25314	177288	172	70
80	4390	25905	181678	175	71
81	4432	26329	186110	176	72
82	4497	26782	190607	178	73
83	4543	27226	195150	180	74
84	4604	27707	199754	182	75
85	4648	28067	204402	183	76
86	4699	28492	209101	184	77
87	4734	28937	213835	189	78
88	4789	29364	218624	192	79
89	4824	29837	223448	194	80
90	4883	30447	228331	196	81
91	4913	30852	233244	198	82
92	4983	31304	238227	202	83
93	5016	31732	243243	205	84
94	5082	32125	248325	207	84
95	5131	32560	253456	210	85
96	5161	33061	258617	212	86
97	5223	33516	263840	213	87
98	5315	34174	269155	216	88
99	5372	34803	274527	217	89
100	5419	35294	279946	218	90
